State&County,Total_Population,Levels_Smokers,Surface_Mines,Underground_Mines,Levels_COPD
"Coffee, Alabama","52,342",20.7,0.0,0.0,7.5
"Imperial, California","181,215",13.3,0.0,0.0,5.3
"Ashley, Arkansas","19,657",24.2,0.0,0.0,9.1
"Marion, Alabama","29,709",24.3,0.0,0.0,9.6
"Pulaski, Arkansas","391,911",19.6,0.0,0.0,7.0
"Lake, Colorado","8,127",16.0,0.0,0.0,5.4
"Petersburg, Alaska","3,266",18.1,0.0,0.0,5.6
"Baca, Colorado","3,581",19.5,0.0,0.0,6.8
"Hempstead, Arkansas","21,532",22.4,0.0,0.0,8.7
"Sonoma, California","494,336",11.4,0.0,0.0,4.7
"DeKalb, Alabama","71,513",25.0,0.0,0.0,10.2
"Northwest Arctic, Alaska","7,621",34.3,0.0,0.0,10.5
"Saline, Arkansas","122,437",17.1,0.0,0.0,6.8
"El Dorado, California","192,843",12.3,0.0,0.0,4.9
"Woodruff, Arkansas","6,320",25.3,0.0,0.0,9.8
"Clarke, Alabama","23,622",25.0,0.0,0.0,9.4
"Barbour, Alabama","24,686",27.8,0.0,0.0,10.7
"Kenai Peninsula, Alaska","58,708",19.9,0.0,0.0,6.3
"Huerfano, Colorado","6,897",15.2,0.0,0.0,4.9
"Larimer, Colorado","356,899",13.9,0.0,0.0,4.5
"White, Arkansas","78,753",23.3,0.0,0.0,8.8
"Stanislaus, California","550,660",14.2,0.0,0.0,5.7
"Phillips, Arkansas","17,782",25.8,0.0,0.0,10.6
"Plumas, California","18,807",14.0,0.0,0.0,5.7
"Pike, Arkansas","10,718",22.8,0.0,0.0,8.9
"Chicot, Arkansas","10,118",25.2,0.0,0.0,9.8
"Wilcox, Alabama","10,373",27.5,0.0,0.0,10.7
"Lassen, California","30,573",16.5,0.0,0.0,6.7
"Bent, Colorado","5,577",21.4,0.0,0.0,7.3
"Choctaw, Alabama","12,589",24.6,0.0,0.0,9.5
"Carroll, Arkansas","28,380",20.2,0.0,0.0,7.9
"Washington, Alabama","16,326",24.6,0.0,0.0,9.8
"Matanuska-Susitna, Alaska","108,317",19.8,0.0,0.0,6.1
"Humboldt, California","135,558",15.4,0.0,0.0,6.6
"Lee, Arkansas","8,857",25.4,0.0,0.0,9.7
"Phillips, Colorado","4,265",16.7,0.0,0.0,5.6
"Dillingham, Alaska","4,916",30.7,0.0,0.0,8.9
"Scott, Arkansas","10,281",25.4,0.0,0.0,10.1
"Coconino, Arizona","143,476",18.1,0.0,0.0,6.4
"North Slope, Alaska","9,832",24.1,0.0,0.0,6.7
"Butler, Alabama","19,448",24.6,0.0,0.0,9.3
"Navajo, Arizona","110,924",20.7,0.0,0.0,9.6
"Hoonah-Angoon, Alaska","2,148",22.7,0.0,0.0,6.9
"Izard, Arkansas","13,629",24.0,0.0,0.0,9.0
"Lincoln, Colorado","5,701",19.2,0.0,0.0,6.2
"Montrose, Colorado","42,758",17.0,0.0,0.0,5.6
"Cleveland, Arkansas","7,956",23.9,0.0,0.0,9.1
"Fayette, Alabama","16,302",24.5,0.0,0.0,9.6
"Lawrence, Alabama","32,924",25.6,0.0,0.0,9.6
"Chaffee, Colorado","20,356",15.5,0.0,0.0,5.1
"Marin, California","258,826",9.5,0.0,0.0,3.9
"Sierra, California","3,005",15.3,0.0,0.0,6.2
"Santa Barbara, California","446,499",11.7,0.0,0.0,4.9
"Amador, California","39,752",14.2,0.0,0.0,5.6
"Hot Spring, Arkansas","33,771",22.7,0.0,0.0,8.9
"Henry, Alabama","17,205",22.5,0.0,0.0,8.5
"Sebastian, Arkansas","127,827",19.8,0.0,0.0,8.3
"Independence, Arkansas","37,825",22.4,0.0,0.0,8.8
"Lowndes, Alabama","9,726",25.6,0.0,0.0,9.8
"Trinity, California","12,285",17.4,0.0,0.0,7.2
"Dolores, Colorado","2,055",17.5,0.0,0.0,5.6
"Marengo, Alabama","18,863",23.9,0.0,0.0,9.0
"Kiowa, Colorado","1,406",18.6,0.0,0.0,6.3
"Stone, Arkansas","12,506",25.4,0.0,0.0,10.2
"Mariposa, California","17,203",14.8,0.0,0.0,6.1
"Chilton, Alabama","44,428",23.9,0.0,0.0,9.3
"Lauderdale, Alabama","92,729",20.5,0.0,0.0,8.0
"Madison, Alabama","372,909",16.1,0.0,0.0,6.1
"Jefferson, Colorado","582,881",13.5,0.0,0.0,4.1
"Alameda, California","1,671,329",10.0,0.0,0.0,3.8
"Contra Costa, California","1,153,526",10.0,0.0,0.0,4.1
"Pike, Alabama","33,114",20.6,0.0,0.0,8.3
"Yakutat, Alaska",579,22.5,0.0,0.0,6.7
"Mohave, Arizona","212,181",21.0,0.0,0.0,7.7
"Calhoun, Alabama","113,605",22.6,0.0,0.0,8.6
"Hale, Alabama","14,651",25.8,0.0,0.0,9.5
"Denali, Alaska","2,097",17.8,0.0,0.0,5.7
"Lawrence, Arkansas","16,406",24.0,0.0,0.0,9.4
"Del Norte, California","27,812",17.6,0.0,0.0,7.2
"Macon, Alabama","18,068",23.0,0.0,0.0,8.5
"Conejos, Colorado","8,205",16.1,0.0,0.0,5.3
"Gunnison, Colorado","17,462",13.6,0.0,0.0,4.7
"Yukon-Koyukuk, Alaska","5,230",30.9,0.0,0.0,9.6
"Baldwin, Alabama","223,234",19.9,0.0,0.0,6.9
"Winston, Alabama","23,629",26.3,0.0,0.0,10.4
"San Francisco, California","881,549",9.3,0.0,0.0,3.6
"Lafayette, Arkansas","6,624",26.0,0.0,0.0,10.0
"Jackson, Arkansas","16,719",26.5,0.0,0.0,10.6
"Crawford, Arkansas","63,257",22.7,0.0,0.0,8.7
"Nome, Alaska","10,004",30.8,0.0,0.0,9.5
"Covington, Alabama","37,049",24.7,0.0,0.0,9.2
"Tuolumne, California","54,478",15.0,0.0,0.0,6.0
"San Benito, California","62,808",11.7,0.0,0.0,4.5
"Bradley, Arkansas","10,763",22.6,0.0,0.0,8.6
"Hinsdale, Colorado",820,14.3,0.0,0.0,4.7
"Searcy, Arkansas","7,881",25.8,0.0,0.0,10.4
"Calhoun, Arkansas","5,189",23.3,0.0,0.0,8.7
"San Mateo, California","766,573",9.2,0.0,0.0,3.5
"Johnson, Arkansas","26,578",24.8,0.0,0.0,9.9
"Limestone, Alabama","98,915",20.7,0.0,0.0,7.6
"Ventura, California","846,006",10.6,0.0,0.0,4.4
"Crenshaw, Alabama","13,772",24.0,0.0,0.0,9.0
"Boulder, Colorado","326,196",11.1,0.0,0.0,4.0
"Miller, Arkansas","43,257",22.2,0.0,0.0,8.6
"Siskiyou, California","43,539",15.6,0.0,0.0,6.6
"Mississippi, Arkansas","40,651",25.4,0.0,0.0,9.5
"San Luis Obispo, California","283,111",11.9,0.0,0.0,5.0
"Union, Arkansas","38,682",21.4,0.0,0.0,8.2
"Elbert, Colorado","26,729",14.1,0.0,0.0,4.5
"Conway, Arkansas","20,846",23.2,0.0,0.0,8.8
"Fulton, Arkansas","12,477",26.0,0.0,0.0,10.7
"Washington, Arkansas","239,187",18.6,0.0,0.0,7.3
"Elmore, Alabama","81,209",20.4,0.0,0.0,7.4
"Anchorage, Alaska","288,000",15.3,0.0,0.0,5.0
"Kings, California","152,940",14.3,0.0,0.0,5.7
"Shelby, Alabama","217,702",15.3,0.0,0.0,5.7
"Boone, Arkansas","37,432",22.6,0.0,0.0,8.8
"Kusilvak, Alaska","8,314",43.0,0.0,0.0,15.0
"Aleutians West, Alaska","5,634",16.8,0.0,0.0,4.8
"Tulare, California","466,195",14.9,0.0,0.0,6.3
"Douglas, Colorado","351,154",9.8,0.0,0.0,3.4
"Nevada, California","99,755",12.4,0.0,0.0,5.2
"Crittenden, Arkansas","47,955",23.9,0.0,0.0,9.1
"Delta, Colorado","31,162",19.4,0.0,0.0,6.6
"Sumter, Alabama","12,427",23.2,0.0,0.0,9.1
"Lamar, Alabama","13,805",25.0,0.0,0.0,9.8
"Skagway, Alaska","1,183",16.8,0.0,0.0,5.4
"Denver, Colorado","727,211",13.2,0.0,0.0,4.2
"San Bernardino, California","2,180,085",13.2,0.0,0.0,5.1
"Prairie, Arkansas","8,062",23.2,0.0,0.0,8.8
"Modoc, California","8,841",17.2,0.0,0.0,7.1
"Logan, Arkansas","21,466",23.8,0.0,0.0,9.4
"Moffat, Colorado","13,283",18.7,0.0,0.0,6.1
"Juneau, Alaska","31,974",15.1,0.0,0.0,4.8
"Montgomery, Alabama","226,486",20.1,0.0,0.0,7.2
"Arapahoe, Colorado","656,590",13.1,0.0,0.0,4.1
"Fresno, California","999,101",14.3,0.0,0.0,5.6
"Alpine, California","1,129",16.0,0.0,0.0,6.6
"Monterey, California","434,061",12.0,0.0,0.0,5.2
"Grand, Colorado","15,734",15.6,0.0,0.0,5.0
"Colbert, Alabama","55,241",21.5,0.0,0.0,8.2
"Eagle, Colorado","55,127",12.1,0.0,0.0,4.2
"Custer, Colorado","5,068",15.4,0.0,0.0,5.1
"Solano, California","447,643",11.9,0.0,0.0,4.6
"Walker, Alabama","63,521",25.9,0.0,0.0,9.9
"Gilpin, Colorado","6,243",13.2,0.0,0.0,4.2
"Benton, Arkansas","279,141",16.4,0.0,0.0,6.5
"Riverside, California","2,470,546",12.5,0.0,0.0,5.1
"Sacramento, California","1,552,058",13.3,0.0,0.0,5.2
"Kodiak Island, Alaska","12,998",16.5,0.0,0.0,5.0
"Clay, Alabama","13,235",25.6,0.0,0.0,10.1
"Morgan, Alabama","119,679",20.6,0.0,0.0,8.0
"Polk, Arkansas","19,964",24.5,0.0,0.0,9.8
"Lonoke, Arkansas","73,309",21.2,0.0,0.0,7.6
"Santa Clara, California","1,927,852",8.7,0.0,0.0,3.5
"Coosa, Alabama","10,663",23.7,0.0,0.0,8.8
"Tuscaloosa, Alabama","209,355",20.2,0.0,0.0,7.5
"Columbia, Arkansas","23,457",24.4,0.0,0.0,9.2
"Madison, Arkansas","16,576",24.4,0.0,0.0,9.6
"Monroe, Alabama","20,733",25.3,0.0,0.0,9.7
"Broomfield, Colorado","70,465",10.7,0.0,0.0,3.6
"Lee, Alabama","164,542",18.4,0.0,0.0,7.2
"La Paz, Arizona","21,108",19.5,0.0,0.0,7.9
"Poinsett, Arkansas","23,528",25.6,0.0,0.0,9.7
"Butte, California","219,186",14.6,0.0,0.0,6.2
"Geneva, Alabama","26,271",25.2,0.0,0.0,9.8
"Bristol Bay, Alaska",836,21.2,0.0,0.0,6.4
"Grant, Arkansas","18,265",21.3,0.0,0.0,8.0
"Kern, California","900,202",15.1,0.0,0.0,6.1
"Apache, Arizona","71,887",23.9,0.0,0.0,11.1
"Franklin, Arkansas","17,715",26.1,0.0,0.0,10.2
"El Paso, Colorado","720,403",14.2,0.0,0.0,4.7
"Garland, Arkansas","99,386",21.0,0.0,0.0,8.2
"Greene, Alabama","8,111",28.2,0.0,0.0,11.2
"Greenlee, Arizona","9,498",15.2,0.0,0.0,5.3
"Marion, Arkansas","16,694",22.9,0.0,0.0,8.9
"Maricopa, Arizona","4,485,414",14.3,0.0,0.0,5.6
"Morgan, Colorado","29,068",16.7,0.0,0.0,5.7
"Fairfield, Connecticut","943,332",10.9,0.0,0.0,4.1
"Duval, Florida","957,755",19.0,0.0,0.0,7.5
"Calhoun, Georgia","6,189",28.1,0.0,0.0,10.6
"Ada, Idaho","481,587",13.2,0.0,0.0,4.8
"Cassia, Idaho","24,030",16.0,0.0,0.0,6.0
"St. Johns, Florida","264,672",16.4,0.0,0.0,6.1
"Montgomery, Georgia","9,172",23.2,0.0,0.0,8.7
"Berrien, Georgia","19,397",26.3,0.0,0.0,10.0
"Chatham, Georgia","289,430",18.1,0.0,0.0,6.5
"Wilcox, Georgia","8,635",25.1,0.0,0.0,9.4
"Highlands, Florida","106,221",20.9,0.0,0.0,8.6
"Saguache, Colorado","6,824",17.2,0.0,0.0,5.9
"Adams, Idaho","4,294",18.3,0.0,0.0,6.1
"Escambia, Florida","318,316",19.6,0.0,0.0,7.9
"Paulding, Georgia","168,667",18.4,0.0,0.0,6.5
"Chattahoochee, Georgia","10,907",19.6,0.0,0.0,7.3
"Liberty, Georgia","61,435",21.6,0.0,0.0,7.2
"Harris, Georgia","35,236",17.3,0.0,0.0,5.9
"Terrell, Georgia","8,531",26.0,0.0,0.0,9.9
"Jefferson, Idaho","29,871",15.2,0.0,0.0,5.3
"Forsyth, Georgia","244,252",12.6,0.0,0.0,4.6
"San Miguel, Colorado","8,179",11.8,0.0,0.0,4.1
"Emanuel, Georgia","22,646",24.8,0.0,0.0,9.5
"Putnam, Florida","74,521",27.2,0.0,0.0,10.8
"Glascock, Georgia","2,971",24.7,0.0,0.0,9.3
"Taylor, Georgia","8,020",27.1,0.0,0.0,10.5
"Prowers, Colorado","12,172",16.5,0.0,0.0,5.7
"Custer, Idaho","4,315",18.4,0.0,0.0,6.7
"Carroll, Georgia","119,992",22.0,0.0,0.0,7.9
"Fulton, Georgia","1,063,937",13.9,0.0,0.0,5.3
"Bradford, Florida","28,201",26.8,0.0,0.0,10.5
"Thomas, Georgia","44,451",21.4,0.0,0.0,8.0
"Richmond, Georgia","202,518",21.5,0.0,0.0,8.1
"Morgan, Georgia","19,276",19.6,0.0,0.0,6.8
"New Haven, Connecticut","854,757",15.0,0.0,0.0,5.1
"Franklin, Idaho","13,876",16.3,0.0,0.0,6.0
"Meriwether, Georgia","21,167",25.0,0.0,0.0,9.4
"Osceola, Florida","375,751",15.6,0.0,0.0,6.5
"Effingham, Georgia","64,296",19.9,0.0,0.0,6.8
"Hall, Georgia","204,441",18.0,0.0,0.0,6.8
"Orange, Florida","1,393,452",15.3,0.0,0.0,6.2
"Cook, Georgia","17,270",24.2,0.0,0.0,9.4
"Clinch, Georgia","6,618",30.3,0.0,0.0,12.6
"Martin, Florida","161,000",17.0,0.0,0.0,6.9
"Haralson, Georgia","29,792",23.0,0.0,0.0,8.6
"Sumter, Georgia","29,524",23.3,0.0,0.0,8.8
"Sarasota, Florida","433,742",17.2,0.0,0.0,6.6
"Lincoln, Georgia","7,921",23.2,0.0,0.0,8.6
"White, Georgia","30,798",20.0,0.0,0.0,7.4
"Polk, Georgia","42,613",23.4,0.0,0.0,8.8
"Mitchell, Georgia","21,863",25.4,0.0,0.0,9.7
"Washington, Florida","25,473",25.9,0.0,0.0,11.2
"Benewah, Idaho","9,298",21.0,0.0,0.0,7.3
"Leon, Florida","293,582",16.6,0.0,0.0,7.2
"Caribou, Idaho","7,155",18.6,0.0,0.0,6.0
"Middlesex, Connecticut","162,436",13.2,0.0,0.0,4.7
"Seminole, Georgia","8,090",23.4,0.0,0.0,8.7
"Camden, Georgia","54,666",19.3,0.0,0.0,7.1
"Dixie, Florida","16,826",27.8,0.0,0.0,11.5
"Floyd, Georgia","98,498",22.0,0.0,0.0,8.2
"Rockdale, Georgia","90,896",18.3,0.0,0.0,6.5
"Grady, Georgia","24,633",22.5,0.0,0.0,8.8
"Routt, Colorado","25,638",13.5,0.0,0.0,4.5
"Bonner, Idaho","45,739",18.5,0.0,0.0,6.4
"Long, Georgia","19,559",22.0,0.0,0.0,8.1
"Okaloosa, Florida","210,738",18.0,0.0,0.0,7.2
"Peach, Georgia","27,546",21.5,0.0,0.0,7.9
"Butts, Georgia","24,936",25.0,0.0,0.0,9.1
"Troup, Georgia","69,922",22.7,0.0,0.0,8.4
"Hartford, Connecticut","891,720",13.2,0.0,0.0,4.7
"Gordon, Georgia","57,963",21.9,0.0,0.0,8.5
"Boise, Idaho","7,831",15.8,0.0,0.0,5.5
"Walton, Florida","74,071",20.7,0.0,0.0,8.2
"Nassau, Florida","88,625",18.8,0.0,0.0,7.2
"Jones, Georgia","28,735",21.3,0.0,0.0,7.6
"Charlotte, Florida","188,910",19.2,0.0,0.0,7.8
"McDuffie, Georgia","21,312",24.7,0.0,0.0,9.2
"Bibb, Georgia","153,159",22.5,0.0,0.0,8.0
"Boundary, Idaho","12,245",19.9,0.0,0.0,6.8
"Monroe, Florida","74,228",17.1,0.0,0.0,6.1
"DeSoto, Florida","38,001",22.8,0.0,0.0,10.4
"Telfair, Georgia","15,860",25.1,0.0,0.0,9.8
"Clayton, Georgia","292,256",19.8,0.0,0.0,7.1
"Lumpkin, Georgia","33,610",20.8,0.0,0.0,8.0
"Gulf, Florida","13,639",23.0,0.0,0.0,8.9
"Bleckley, Georgia","12,873",21.8,0.0,0.0,8.2
"Marion, Georgia","8,359",23.4,0.0,0.0,8.8
"Ware, Georgia","35,734",24.8,0.0,0.0,9.6
"Canyon, Idaho","229,849",17.7,0.0,0.0,6.3
"Polk, Florida","724,777",18.4,0.0,0.0,8.1
"Jerome, Idaho","24,412",17.7,0.0,0.0,6.6
"Litchfield, Connecticut","180,333",14.0,0.0,0.0,5.0
"Twiggs, Georgia","8,120",24.9,0.0,0.0,9.0
"Gadsden, Florida","45,660",21.9,0.0,0.0,9.2
"Baker, Florida","29,210",24.1,0.0,0.0,9.3
"Marion, Florida","365,579",21.4,0.0,0.0,8.3
"Echols, Georgia","4,006",22.0,0.0,0.0,8.7
"Hancock, Georgia","8,457",27.2,0.0,0.0,9.7
"Manatee, Florida","403,253",17.1,0.0,0.0,7.2
"Wheeler, Georgia","7,855",26.0,0.0,0.0,9.7
"Barrow, Georgia","83,240",20.8,0.0,0.0,7.2
"Union, Georgia","24,511",20.5,0.0,0.0,7.6
"Payette, Idaho","23,951",17.5,0.0,0.0,6.4
"Banks, Georgia","19,234",23.8,0.0,0.0,9.1
"Alachua, Florida","269,043",16.1,0.0,0.0,7.3
"Hamilton, Florida","14,428",27.6,0.0,0.0,11.4
"Walton, Georgia","94,593",20.6,0.0,0.0,7.4
"Pulaski, Georgia","11,137",22.7,0.0,0.0,8.6
"District of Columbia, District of Columbia","705,749",14.2,0.0,0.0,4.7
"New London, Connecticut","265,206",13.6,0.0,0.0,5.3
"Butte, Idaho","2,597",18.8,0.0,0.0,6.8
"Franklin, Georgia","23,349",22.9,0.0,0.0,9.0
"Brevard, Florida","601,942",18.0,0.0,0.0,7.3
"Honolulu, Hawaii","974,563",13.6,0.0,0.0,3.9
"Columbia, Florida","71,686",25.9,0.0,0.0,9.7
"Clearwater, Idaho","8,756",19.5,0.0,0.0,6.6
"Jackson, Georgia","72,977",20.3,0.0,0.0,7.3
"Early, Georgia","10,190",25.8,0.0,0.0,9.8
"Bannock, Idaho","87,808",17.6,0.0,0.0,5.9
"Clark, Idaho",845,18.5,0.0,0.0,6.7
"Lake, Florida","367,118",19.3,0.0,0.0,7.4
"Burke, Georgia","22,383",23.7,0.0,0.0,8.9
"Turner, Georgia","7,985",25.4,0.0,0.0,9.8
"Crisp, Georgia","22,372",25.7,0.0,0.0,10.3
"Baldwin, Georgia","44,890",22.5,0.0,0.0,8.2
"Bay, Florida","174,705",22.1,0.0,0.0,8.2
"San Juan, Colorado",728,14.9,0.0,0.0,4.9
"Monroe, Georgia","27,578",20.4,0.0,0.0,7.2
"Glynn, Georgia","85,292",20.0,0.0,0.0,7.2
"Macon, Georgia","12,947",26.0,0.0,0.0,10.0
"Talbot, Georgia","6,195",24.9,0.0,0.0,9.1
"Oconee, Georgia","40,280",13.6,0.0,0.0,5.0
"Bonneville, Idaho","119,062",15.7,0.0,0.0,5.3
"Bartow, Georgia","107,738",21.0,0.0,0.0,8.0
"Habersham, Georgia","45,328",20.5,0.0,0.0,7.8
"Clay, Georgia","2,834",28.1,0.0,0.0,11.3
"Elmore, Idaho","27,511",18.4,0.0,0.0,6.4
"Treutlen, Georgia","6,901",26.6,0.0,0.0,10.2
"Weld, Colorado","324,492",14.8,0.0,0.0,4.8
"Jefferson, Florida","14,246",22.6,0.0,0.0,9.1
"Washington, Georgia","20,374",24.6,0.0,0.0,8.9
"Dooly, Georgia","13,390",24.2,0.0,0.0,8.7
"Dawson, Georgia","26,108",18.2,0.0,0.0,6.5
"Pasco, Florida","553,947",21.1,0.0,0.0,7.8
"Bacon, Georgia","11,164",25.2,0.0,0.0,10.0
"Tattnall, Georgia","25,286",24.7,0.0,0.0,9.3
"Hart, Georgia","26,205",23.7,0.0,0.0,8.9
"Spalding, Georgia","66,703",22.3,0.0,0.0,8.4
"Fannin, Georgia","26,188",21.1,0.0,0.0,7.7
"Putnam, Georgia","22,119",20.8,0.0,0.0,7.6
"Decatur, Georgia","26,404",22.3,0.0,0.0,8.7
"Windham, Connecticut","116,782",17.3,0.0,0.0,6.1
"Bulloch, Georgia","79,608",21.1,0.0,0.0,8.4
"Pinellas, Florida","974,996",18.9,0.0,0.0,7.4
